train_no,station_code,prev_delay_bucket,predicted_delay_min
12001,MTJ,0-5,26.1
12001,MTJ,5-15,26.1
12001,MTJ,15-30,27.4
12001,MTJ,30-60,37.8
12001,MTJ,60-120,75.9
12001,MTJ,120+,129.2
12001,NDLS,0-5,24.0
12001,NDLS,5-15,24.1
12001,NDLS,15-30,25.1
12001,NDLS,30-60,34.7
12001,NDLS,60-120,71.9
12001,NDLS,120+,121.1
12001,RKMP,0-5,10.9
12001,RKMP,5-15,10.9
12001,RKMP,15-30,11.7
12001,RKMP,30-60,19.8
12001,RKMP,60-120,42.9
12001,RKMP,120+,80.8
12001,VGLJ,0-5,15.7
12001,VGLJ,5-15,15.7
12001,VGLJ,15-30,16.6
12001,VGLJ,30-60,26.2
12001,VGLJ,60-120,56.7
12001,VGLJ,120+,99.7
12002,AGC,0-5,26.3
12002,AGC,5-15,26.3
12002,AGC,15-30,26.7
12002,AGC,30-60,32.0
12002,AGC,60-120,59.3
12002,AGC,120+,92.4
12002,BINA,0-5,14.8
12002,BINA,5-15,14.8
12002,BINA,15-30,15.1
12002,BINA,30-60,22.7
12002,BINA,60-120,46.4
12002,BINA,120+,83.6
12002,BPL,0-5,18.3
12002,BPL,5-15,18.3
12002,BPL,15-30,18.8
12002,BPL,30-60,26.8
12002,BPL,60-120,54.7
12002,BPL,120+,94.5
12002,DHO,0-5,14.4
12002,DHO,5-15,14.4
12002,DHO,15-30,14.8
12002,DHO,30-60,22.4
12002,DHO,60-120,45.8
12002,DHO,120+,84.3
12002,GWL,0-5,15.6
12002,GWL,5-15,15.6
12002,GWL,15-30,16.3
12002,GWL,30-60,24.3
12002,GWL,60-120,49.3
12002,GWL,120+,91.8
12002,LAR,0-5,23.7
12002,LAR,5-15,23.7
12002,LAR,15-30,24.4
12002,LAR,30-60,32.4
12002,LAR,60-120,64.6
12002,LAR,120+,110.4
12002,MRA,0-5,18.1
12002,MRA,5-15,18.1
12002,MRA,15-30,18.7
12002,MRA,30-60,25.6
12002,MRA,60-120,53.3
12002,MRA,120+,96.9
12002,MTJ,0-5,14.2
12002,MTJ,5-15,14.2
12002,MTJ,15-30,14.8
12002,MTJ,30-60,21.1
12002,MTJ,60-120,43.8
12002,MTJ,120+,85.4
12002,NDLS,0-5,2.7
12002,NDLS,5-15,2.7
12002,NDLS,15-30,3.0
12002,NDLS,30-60,5.4
12002,NDLS,60-120,18.3
12002,NDLS,120+,39.6
12002,RKMP,0-5,9.7
12002,RKMP,5-15,9.7
12002,RKMP,15-30,10.2
12002,RKMP,30-60,14.6
12002,RKMP,60-120,36.0
12002,RKMP,120+,67.6
12002,VGLJ,0-5,14.9
12002,VGLJ,5-15,14.9
12002,VGLJ,15-30,15.5
12002,VGLJ,30-60,21.6
12002,VGLJ,60-120,44.3
12002,VGLJ,120+,84.9
12003,ALJN,0-5,20.2
12003,ALJN,5-15,20.2
12003,ALJN,15-30,21.7
12003,ALJN,30-60,30.5
12003,ALJN,60-120,54.7
12003,ALJN,120+,75.8
12003,CNB,0-5,8.2
